"Year","LME","rec_obs","Source"
1950,"0",27938298.9927577,"SAU"
1951,"0",30135378.3675587,"SAU"
1952,"0",32082421.7505966,"SAU"
1953,"0",33012181.838583,"SAU"
1954,"0",35933522.1212783,"SAU"
1955,"0",38526550.0986564,"SAU"
1956,"0",40866566.7633364,"SAU"
1957,"0",40543658.0609017,"SAU"
1958,"0",41191588.5555499,"SAU"
1959,"0",45019955.1198203,"SAU"
1960,"0",49492589.8138926,"SAU"
1961,"0",54141744.2775978,"SAU"
1962,"0",57949786.5719737,"SAU"
1963,"0",61892679.8186189,"SAU"
1964,"0",66805656.3091459,"SAU"
1965,"0",66687308.5878537,"SAU"
1966,"0",72468966.552608,"SAU"
1967,"0",78634925.5959697,"SAU"
1968,"0",84175704.6899146,"SAU"
1969,"0",81102209.5568207,"SAU"
1970,"0",88275488.5881184,"SAU"
1971,"0",86556746.4321552,"SAU"
1972,"0",79892005.9510527,"SAU"
1973,"0",81874050.9982318,"SAU"
1974,"0",86846622.4907423,"SAU"
1975,"0",86427019.7225654,"SAU"
1976,"0",89685208.1284706,"SAU"
1977,"0",88911334.3700977,"SAU"
1978,"0",92627253.025438,"SAU"
1979,"0",89723662.7409811,"SAU"
1980,"0",89446342.1718143,"SAU"
1981,"0",92350971.4844818,"SAU"
1982,"0",97382989.8501368,"SAU"
1983,"0",95977825.701874,"SAU"
1984,"0",102306542.4594,"SAU"
1985,"0",105705877.587612,"SAU"
1986,"0",110316172.61423,"SAU"
1987,"0",111517308.79146,"SAU"
1988,"0",113573951.304573,"SAU"
1989,"0",114540868.106049,"SAU"
1990,"0",109962828.632799,"SAU"
1991,"0",109486264.574692,"SAU"
1992,"0",111374611.149899,"SAU"
1993,"0",110854288.672973,"SAU"
1994,"0",116314177.943108,"SAU"
1995,"0",115853120.427949,"SAU"
1996,"0",118850335.331749,"SAU"
1997,"0",117387254.749021,"SAU"
1998,"0",108115674.834097,"SAU"
1999,"0",112879854.262435,"SAU"
2000,"0",115620675.302004,"SAU"
2001,"0",112613762.548689,"SAU"
2002,"0",111474153.388844,"SAU"
2003,"0",109874478.679343,"SAU"
2004,"0",114309119.80008,"SAU"
2005,"0",111729389.570206,"SAU"
2006,"0",107480034.383262,"SAU"
2007,"0",107820934.611018,"SAU"
2008,"0",105888334.637581,"SAU"
2009,"0",105106911.839271,"SAU"
2010,"0",102475882.216585,"SAU"
2011,"0",109361407.960335,"SAU"
2012,"0",104156630.334771,"SAU"
2013,"0",105550540.774664,"SAU"
2014,"0",106181147.493155,"SAU"
