"Year","LME","saup_obs"
1950,"0",27938298.9927577
1951,"0",30135378.3675587
1952,"0",32082421.7505966
1953,"0",33012181.838583
1954,"0",35933522.1212783
1955,"0",38526550.0986564
1956,"0",40866566.7633364
1957,"0",40543658.0609017
1958,"0",41191588.5555499
1959,"0",45019955.1198203
1960,"0",49492589.8138926
1961,"0",54141744.2775978
1962,"0",57949786.5719737
1963,"0",61892679.8186189
1964,"0",66805656.3091459
1965,"0",66687308.5878537
1966,"0",72468966.552608
1967,"0",78634925.5959697
1968,"0",84175704.6899146
1969,"0",81102209.5568207
1970,"0",88275488.5881184
1971,"0",86556746.4321552
1972,"0",79892005.9510527
1973,"0",81874050.9982318
1974,"0",86846622.4907423
1975,"0",86427019.7225654
1976,"0",89685208.1284706
1977,"0",88911334.3700977
1978,"0",92627253.025438
1979,"0",89723662.7409811
1980,"0",89446342.1718143
1981,"0",92350971.4844818
1982,"0",97382989.8501368
1983,"0",95977825.701874
1984,"0",102306542.4594
1985,"0",105705877.587612
1986,"0",110316172.61423
1987,"0",111517308.79146
1988,"0",113573951.304573
1989,"0",114540868.106049
1990,"0",109962828.632799
1991,"0",109486264.574692
1992,"0",111374611.149899
1993,"0",110854288.672973
1994,"0",116314177.943108
1995,"0",115853120.427949
1996,"0",118850335.331749
1997,"0",117387254.749021
1998,"0",108115674.834097
1999,"0",112879854.262435
2000,"0",115620675.302004
2001,"0",112613762.548689
2002,"0",111474153.388844
2003,"0",109874478.679343
2004,"0",114309119.80008
2005,"0",111729389.570206
2006,"0",107480034.383262
2007,"0",107820934.611018
2008,"0",105888334.637581
2009,"0",105106911.839271
2010,"0",102475882.216585
2011,"0",109361407.960335
2012,"0",104156630.334771
2013,"0",105550540.774664
2014,"0",106181147.493155
